newspaper_date,date,description,asset,registered,coupons_on,interest_suspended,issuer,price_low,price_high,original_text,url,comment,past_due
1860-11-01,1860-11-01,Lynchburg City Bonds,lynchburg,0,0,0,Lynchburg,90,90,"Lynchburg City Bonds, last sales $90--no recent sales.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0002%3Aarticle%3Dpos%3D89,,0
1860-11-01,1860-11-01,Norfolk CIty Bonds,norfolk,0,0,0,Norfolk,78,78,"Norfolk City Bonds, last sales $78--no recent sales.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0002%3Aarticle%3Dpos%3D89,,0
1860-11-01,1860-11-01,Petersburg City Bonds,petersburg,0,0,0,Petersburg,90,90,"Petersburg City Bonds, last sales $90--no recent sales.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0002%3Aarticle%3Dpos%3D89,,0
1860-11-01,1860-11-01,Richmond City Bonds,richmond,0,0,0,Richmond,90,90,"Richmond City Bonds, sales $90 and int.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0002%3Aarticle%3Dpos%3D89,,0
1860-11-01,1860-11-01,Virginia 6 per cent registered,virginia,1,0,0,Virginia,89,89,"Virginia 6 per cent. Registered Bonds, sales $89.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0002%3Aarticle%3Dpos%3D89,,0
1860-11-08,1860-11-08,Lynchburg City Bonds,lynchburg,0,0,0,Lynchburg,90,90,"Lynchburg City Bonds, last sales $90-no recent sales.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0006:article=pos=63&highlight=money+matters%2C,,0
1860-11-08,1860-11-08,Norfolk CIty Bonds,norfolk,0,0,0,Norfolk,78,78,"Norfolk City Bonds, last sales $78-no recent sales.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0006:article=pos=63&highlight=money+matters%2C,,0
1860-11-08,1860-11-08,Petersburg City Bonds,petersburg,0,0,0,Petersburg,90,90,"Petersburg City Bonds, last sales $90-no recent sales.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0006:article=pos=63&highlight=money+matters%2C,,0
1860-11-08,1860-11-08,Richmond City Bonds,richmond,0,0,0,Richmond,90,90,Richmond City Bonds. Sales $90 and int.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0006:article=pos=63&highlight=money+matters%2C,,0
1860-11-08,1860-11-08,gold and silver,specie,0,0,0,Specie,1.005,1.005,Gold and Silver 1/2 per cent. Prem.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0006:article=pos=63&highlight=money+matters%2C,,0
1860-11-08,1860-11-08,Virginia 6 per cent registered,virginia,1,0,0,Virginia,88,90,"Virginia 6 per cent. Registered Bonds, last sale $8. held at $10.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0006:article=pos=63&highlight=money+matters%2C,,0
1860-11-15,1860-11-15,Lynchburg City Bonds,lynchburg,0,0,0,Lynchburg,90,90,"Lynchburg City Bonds, last sales $90--no — recent sales.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0010%3Aarticle%3Dpos%3D73,,0
1860-11-15,1860-11-15,Norfolk CIty Bonds,norfolk,0,0,0,Norfolk,78,78,"Norfolk City Bonds, last sales $78--no — recent sales.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0010%3Aarticle%3Dpos%3D73,,0
1860-11-15,1860-11-15,Petersburg City Bonds,petersburg,0,0,0,Petersburg,90,90,"Petersburg City Bonds, last sales $90--no — recent sales.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0010%3Aarticle%3Dpos%3D73,,0
1860-11-15,1860-11-15,Richmond City Bonds,richmond,0,0,0,Richmond,90,90,"Richmond City Bonds, sales $90, flat.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0010%3Aarticle%3Dpos%3D73,,0
1860-11-15,1860-11-15,gold and silver,specie,0,0,0,Specie,1.005,1.005,Gold and Silver ½ per cent. prem.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0010:article=pos=72,,0
1860-11-15,1860-11-15,Virginia 6 per cent registered,virginia,1,0,0,Virginia,88,88,"Virginia 6 per cent. Registered Bonds, sales $88.",http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2006.05.0010%3Aarticle%3Dpos%3D73,,0
1860-11-19,1860-11-19,gold and silver,specie,0,0,0,Specie,1.0025,1.0025,Gold and Silver ¼ per cent. prem.,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:2006.05.0012:article=pos=60,,0
