bid_no,name,city,state,amount,bid,accepted,declined,row,page
1,G. F Wonk & Co,Philadelphia,PA,5,4.125,5,0,1,206
1,G. F Wonk & Co,Philadelphia,PA,6,4,6,0,2,206
1,G. F Wonk & Co,Philadelphia,PA,10,3.75,10,0,3,206
1,G. F Wonk & Co,Philadelphia,PA,5,3.875,5,0,4,206
1,G. F Wonk & Co,Philadelphia,PA,13,3.06,13,0,5,206
1,G. F Wonk & Co,Philadelphia,PA,6,3.375,6,0,6,206
1,G. F Wonk & Co,Philadelphia,PA,5,3,0,5,7,206
2,"Jay, Cooke & Co.",Washington,DC,200,4,200,0,8,206
2,"Jay, Cooke & Co.",Washington,DC,200,3.75,200,0,9,206
2,"Jay, Cooke & Co.",Washington,DC,200,3.625,200,0,10,206
2,"Jay, Cooke & Co.",Washington,DC,100,3.5,100,0,11,206
2,"Jay, Cooke & Co.",Washington,DC,50,3.3,50,0,12,206
2,"Jay, Cooke & Co.",Washington,DC,50,3.25,50,0,13,206
2,"Jay, Cooke & Co.",Washington,DC,50,3.125,50,0,14,206
2,"Jay, Cooke & Co.",Washington,DC,250,3.05,148.6,101.4,15,206
2,"Jay, Cooke & Co.",Washington,DC,150,3,0,150,16,206
2,"Jay, Cooke & Co.",Washington,DC,250,2.75,0,250,17,206
3,Gebhard Fire Insurance Company,Washington,DC,5,4.05,5,0,18,206
3,Gebhard Fire Insurance Company,Washington,DC,5,3.875,5,0,19,206
3,Gebhard Fire Insurance Company,Washington,DC,5,3.625,5,0,20,206
3,Gebhard Fire Insurance Company,Washington,DC,5,3.375,5,0,21,206
3,Gebhard Fire Insurance Company,Washington,DC,5,3.125,5,0,22,206
4,Florence & Conant,Washington,DC,1,4,1,0,23,206
5,G. D. Rosengarten,Philadelphia,PA,5,4,5,0,24,206
6,Jacob L. Smith,Philadelphia,PA,0.75,4,0.75,0,25,206
7,C. S. Darrow,Boston,MA,1,4,1,0,26,206
8,Vermilye & Co.,New York,NY,10,4,10,0,27,206
