"name","city","state","price_mean","bidder_num","auction"
"G.C. Stuhr","Brooklyn","NY",96,1,"1861-02-13; Loan of Feb 1861"
"J. Benkendorff","New York","NY",94.26,2,"1861-02-13; Loan of Feb 1861"
"Philadelphia Contribution Insurance Co.","Philadelphia","PA",93.5,3,"1861-02-13; Loan of Feb 1861"
"Joseph M. Ballestier","New York","NY",93,4,"1861-02-13; Loan of Feb 1861"
"Stephen G. Fotterall","Philadelphia","PA",93,5,"1861-02-13; Loan of Feb 1861"
"Richard Berry","New York","NY",92.5,6,"1861-02-13; Loan of Feb 1861"
"V. & J.F. Gilpin & Co.","Philadelphia","PA",92.5,7,"1861-02-13; Loan of Feb 1861"
"John Scott Boyd","New York","NY",92.4,8,"1861-02-13; Loan of Feb 1861"
"Bank of the Republic","Boston","MA",92.2666666666667,9,"1861-02-13; Loan of Feb 1861"
"Benjamin Peirce","Chesterfield Factory","NH",92,10,"1861-02-13; Loan of Feb 1861"
"Clark, Dodge & Co.","Boston","MA",92,11,"1861-02-13; Loan of Feb 1861"
"Merritt, Strang & Co","New York","NY",92,12,"1861-02-13; Loan of Feb 1861"
"Mariners' Savings Institution","New York","NY",91.7,13,"1861-02-13; Loan of Feb 1861"
"Russell N. Isaacs","New York","NY",91.5,14,"1861-02-13; Loan of Feb 1861"
"E.G. Hamilton","New York","NY",91.4,15,"1861-02-13; Loan of Feb 1861"
"Jacob St. Loskey","New York","NY",91.3636363636364,16,"1861-02-13; Loan of Feb 1861"
"James Tuttle","Boston","MA",91.25,17,"1861-02-13; Loan of Feb 1861"
"Wm. & John O'Brien","New York","NY",91.2357575757576,18,"1861-02-13; Loan of Feb 1861"
"E.S. Monroe","New York","NY",91.0588235294118,19,"1861-02-13; Loan of Feb 1861"
"Jenkins Van Schaick","New York","NY",91.05,20,"1861-02-13; Loan of Feb 1861"
"Clarkson Brothers","Troy","NY",91.0375,21,"1861-02-13; Loan of Feb 1861"
"Charles T. Dix","New York","NY",91,22,"1861-02-13; Loan of Feb 1861"
"John B. Budd","Philadelphia","PA",91,23,"1861-02-13; Loan of Feb 1861"
"Lewis MacGregor","New York","NY",91,24,"1861-02-13; Loan of Feb 1861"
"Louis McGregor","New York","NY",91,25,"1861-02-13; Loan of Feb 1861"
"Philip R. Kearney, trustee","New York","NY",91,26,"1861-02-13; Loan of Feb 1861"
"Tuller & Sutterly","Philadelphia","PA",91,27,"1861-02-13; Loan of Feb 1861"
"Meigs & Greenleaf","New York","NY",90.9818181818182,28,"1861-02-13; Loan of Feb 1861"
"E.W. Dunham","New York","NY",90.8355,29,"1861-02-13; Loan of Feb 1861"
"Home Insurance Company","New York","NY",90.8,30,"1861-02-13; Loan of Feb 1861"
"Charles H. Russell","New York","NY",90.75,31,"1861-02-13; Loan of Feb 1861"
"F.W. Streckle","New York","NY",90.75,32,"1861-02-13; Loan of Feb 1861"
"John A. Stevens","New York","NY",90.75,33,"1861-02-13; Loan of Feb 1861"
"John Sampson","New York","NY",90.75,34,"1861-02-13; Loan of Feb 1861"
"Robert L. Kennedy","New York","NY",90.75,35,"1861-02-13; Loan of Feb 1861"
"C.R. Robert","New York","NY",90.722,36,"1861-02-13; Loan of Feb 1861"
"Underhill & Haven","New York","NY",90.7209090909091,37,"1861-02-13; Loan of Feb 1861"
"Charles A. Cummings","New York","NY",90.6,38,"1861-02-13; Loan of Feb 1861"
"John T. Johnson","New York","NY",90.53,39,"1861-02-13; Loan of Feb 1861"
"A. Jenkins","New York","NY",90.5,40,"1861-02-13; Loan of Feb 1861"
"Henry F. Vail","New York","NY",90.5,41,"1861-02-13; Loan of Feb 1861"
"J.H. Thayer","Boston","MA",90.5,42,"1861-02-13; Loan of Feb 1861"
"James Egginton","Brooklyn","NY",90.5,43,"1861-02-13; Loan of Feb 1861"
"Roosevelt & Son","New York","NY",90.5,44,"1861-02-13; Loan of Feb 1861"
"Samuel Sinclair","Troy","NY",90.5,45,"1861-02-13; Loan of Feb 1861"
"Thompson Brothers","New York","NY",90.5,46,"1861-02-13; Loan of Feb 1861"
"William Griswold","New York","NY",90.5,47,"1861-02-13; Loan of Feb 1861"
"Julius Y. Dewy","Montpelier","VT",90.45,48,"1861-02-13; Loan of Feb 1861"
"Ward, Campbell & Co","New York","NY",90.4225,49,"1861-02-13; Loan of Feb 1861"
"E.L. Bolles","New York","NY",90.4,50,"1861-02-13; Loan of Feb 1861"
"R.R. Graves & Co","New York","NY",90.4,51,"1861-02-13; Loan of Feb 1861"
"George W. Patterson, Jr.","Corning","NY",90.35,52,"1861-02-13; Loan of Feb 1861"
"E. Whitehouse, Son & Morrison","New York","NY",90.3222222222222,53,"1861-02-13; Loan of Feb 1861"
