"city","type","date","rate_low","rate_high","gold_rate","url","issue"
"London","bankers' bills",1859-05-26,444,445.11,1,"http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA327",1859-09-26
"London","bankers' bills",1859-06-26,489.51,491.73,1,"http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA327",1859-09-26
"London","bankers' bills",1859-07-26,487.845,488.4,1,"http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA327",1859-09-26
"London","bankers' bills",1859-08-26,489.51,490.065,1,"http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA327",1859-09-26
"London","bankers' bills",1859-09-26,489.51,490.065,1,"http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA575",1859-12-27
"London","bankers' bills",1859-10-26,488.4,489.51,1,"http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA575",1859-12-27
"London","bankers' bills",1859-11-26,487.845,488.4,1,"http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA575",1859-12-27
"London","bankers' bills",1859-12-26,486.18,486.735,1,"http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA575",1859-12-27
"London","bankers' bills",1860-04-24,482.85,483.96,1,"http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA918",1860-01-22
"London","bankers' bills",1860-04-24,483.96,484.515,1,"http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA918",1860-02-22
"London","bankers' bills",1860-04-24,482.85,483.405,1,"http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA918",1860-03-24
"London","bankers' bills",1860-04-24,484.515,485.07,1,"http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA918",1860-04-24
"London","bankers' bills",1860-08-25,486.735,487.29,1,"http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA253",1860-05-25
"London","bankers' bills",1860-08-25,487.29,487.845,1,"http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA253",1860-06-25
"London","bankers' bills",1860-08-25,487.845,488.4,1,"http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA253",1860-07-24
"London","bankers' bills",1860-08-25,487.845,488.4,1,"http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA253",1860-08-24
"London","bankers' bills",1860-12-24,486.18,487.29,1,"http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA589",1860-09-25
"London","bankers' bills",1860-12-24,482.85,480.075,1,"http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA589",1860-10-20
"London","bankers' bills",1860-12-24,461.76,466.2,1,"http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA589",1860-11-24
"London","bankers' bills",1860-12-24,459.54,463.98,1,"http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA589",1860-12-24
"London","bankers' bills",1861-04-25,468.42,471.75,1,"http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA918",1861-01-24
