"year","federal_govt_new_low","federal_govt_new_high","federal_govt_mkt","new_england_municipal","railroad_bonds","new_york_city_mortgages","able"
1798,,,7.56,6.3,,,
1799,8,,7.42,6.16,,,
1800,7.34,,6.94,6.13,,,
1801,,,6.44,5.63,,,
1802,,,6.02,5.25,,,
1803,,,6.16,5.06,,,
1804,,,6.29,5.14,,,
1805,,,6.38,5.36,,,
1806,,,6.14,5.32,,,
1807,6,,6.08,5.29,,,
1808,,,5.96,5.19,,,
1809,,,5.85,5.02,,,
1810,,,5.82,5.02,,,
1811,,,5.95,5,,,
1812,6,,6.12,9,,,
1813,6.83,,6.3,5.13,,,
1814,7.5,,7.64,5.03,,,
1815,7,7.75,7.3,5.26,,,
1816,,,7.25,5.29,,,
1817,,,5.86,5.72,,,
1818,,,5.78,5.08,,,
1819,,,5.9,5.17,,,
1820,5,5.88,5.16,5,,,
1821,4.25,4.5,4.57,4.93,,,
1822,,,4.65,,,,
1823,,,4.72,5,,,
1824,4.5,,4.25,4.52,,,
1825,4.5,,4.32,4.52,,,
1826,,,4.5,,,,
1827,,,4.37,4.61,,,
1828,,,4.48,,,,
1829,,,4.5,4.77,,,
1830,,,4.37,4.9,,,
1831,,,4.41,,,,
1832,,,4.45,5,,,
1833,,,,4.87,,,
1834,,,,4.87,,,
1835,,,,4.83,,,
1836,,,,4.96,,,
1837,,,,4.95,,,
1838,,,,5.01,,,
1839,,,,5.21,,,
1840,,,,5.07,,,
1841,5.5,6,,4.99,,,
1842,6,6.14,6.07,4.95,,,
1843,4.82,4.95,5.03,4.88,,,
1844,,,4.85,4.84,,,
1845,,,5.16,4.86,,,
1846,6,,5.5,4.92,,,
1847,5.88,,5.77,5.14,,,
1848,5.76,,5.71,5.31,,,
1849,,,5.16,5.31,,,
1850,,,4.58,5.13,,,
1851,,,4.47,5.08,,,
1852,,,4.39,4.98,,,
1853,,,4.02,4.99,,,
1854,,,4.14,5.13,,,
1855,,,4.18,5.16,,,
1856,,,4.11,5.1,,,
1857,,,4.3,5.19,6.97,,
1858,4.36,4.81,4.32,5.03,6.5,,
1859,,,4.72,4.81,6.22,,
1860,4.92,,5.57,4.79,6.04,,
1861,6.73,,6.45,5.04,6.33,,
1862,6,,6.25,4.91,5.52,,
1863,6,,6,4.37,4.77,,
1864,5,5.6,5.1,4.8,4.83,,
1865,4.62,5.42,5.19,5.51,6.02,,
1866,4.62,5.42,5.17,5.5,6.37,,
1867,5.16,,4.97,5.34,6.32,,
1868,5.61,,4.62,5.28,6.26,,
1869,5.87,,4.07,5.37,6.55,7,
1870,,,4.24,5.44,6.41,,
1871,5,,4.18,5.32,6.35,,
1872,,,3.7,5.36,6.18,,
1873,,,3.51,5.58,6.2,,
1874,,,3.42,5.47,5.91,,
1875,,,3.3,5.07,5.45,,
1876,4.5,,3.66,4.59,5.16,,
1877,4.5,,3.81,4.45,5.18,,
1878,4,4.5,3.97,4.34,5.11,,
1879,,,3.96,4.22,4.77,5.92,
1880,,,3.63,4.02,4.46,5.78,
1881,3.5,,3.13,3.7,4.13,5.8,
1882,3,,2.91,3.62,4.2,5.65,
1883,,,2.88,3.63,4.23,5.43,
1884,,,2.76,3.62,4.15,5.35,
1885,,,2.68,3.52,3.98,5.2,
1886,,,2.43,3.37,3.81,5.1,
1887,,,2.32,3.52,3.8,5.14,
1888,,,2.27,3.67,3.69,5.2,
1889,,,2.13,3.45,3.51,5.13,
1890,,,2.37,3.42,3.68,5.45,
1891,2,,2.58,3.62,3.84,5.38,
1892,,,2.73,3.6,3.72,5.2,
1893,,,2.96,3.75,3.73,5.2,
1894,2.98,,2.72,3.7,3.62,5.16,
1895,3.75,,2.82,3.46,3.46,5.04,
1896,3.52,,3.06,3.6,3.5,5.12,
1897,,,2.57,3.4,3.33,5.04,
1898,3,,2.5,3.35,3.26,4.96,
1899,,,2.22,3.1,3.13,5.05,
1900,2,,,3.15,3.18,5.17,
