"date","series","issue","url","volume","is_clean","adjust_gold","adjust_currency","notes","gold_rate","price_currency","price_gold"
1854-04-14,"U.S. 6 per cents, 1867-8","1854-05-25","http://books.google.com/books?id=xlUmAQAAIAAJ&pg=PA1002",8,0,0,0,"",1,122,122
1854-04-21,"U.S. 6 per cents, 1867-8","1854-05-25","http://books.google.com/books?id=xlUmAQAAIAAJ&pg=PA1002",8,0,0,0,"",1,122,122
1854-04-28,"U.S. 6 per cents, 1867-8","1854-05-25","http://books.google.com/books?id=xlUmAQAAIAAJ&pg=PA1002",8,0,0,0,"",1,123.5,123.5
1854-05-05,"U.S. 6 per cents, 1867-8","1854-05-25","http://books.google.com/books?id=xlUmAQAAIAAJ&pg=PA1002",8,0,0,0,"",1,123,123
1854-05-12,"U.S. 6 per cents, 1867-8","1854-05-25","http://books.google.com/books?id=xlUmAQAAIAAJ&pg=PA1002",8,0,0,0,"",1,123,123
1854-05-19,"U.S. 6 per cents, 1867-8","1854-05-25","http://books.google.com/books?id=xlUmAQAAIAAJ&pg=PA1002",8,0,0,0,"",1,123,123
1854-12-01,"U.S. 6 per cents, 1867-8","1855-01-25","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA663",9,0,0,0,"",1,119.75,119.75
1854-12-30,"U.S. 6 per cents, 1867-8","1855-01-25","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA663",9,0,0,0,"",1,119,119
1855-01-05,"U.S. 6 per cents, 1867-8","1855-01-25","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA663",9,0,0,0,"",1,116,116
1855-01-12,"U.S. 6 per cents, 1867-8","1855-01-25","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA663",9,0,0,0,"",1,116.5,116.5
1855-01-19,"U.S. 6 per cents, 1867-8","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA663",9,0,0,0,"",1,120,120
1855-03-23,"Kentucky 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,101,101
1855-03-23,"Louisiana 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,91.5,91.5
1855-03-23,"Indiana 5 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,85.25,85.25
1855-03-23,"Missouri 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,94.25,94.25
1855-03-23,"Ohio 6 per cents, 1875","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,107,107
1855-03-23,"Virginia 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,96.75,96.75
1855-03-23,"U.S. 6 per cents, 1867-8","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,117.25,117.25
1855-03-30,"Kentucky 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,103,103
1855-03-30,"Louisiana 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,92,92
1855-03-30,"Indiana 5 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,84.25,84.25
1855-03-30,"Missouri 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,94.75,94.75
1855-03-30,"Ohio 6 per cents, 1875","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,110,110
1855-03-30,"Virginia 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,97,97
1855-03-30,"U.S. 6 per cents, 1867-8","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,117.5,117.5
1855-04-06,"Kentucky 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,103,103
1855-04-06,"Georgia 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,1,0,0,"",1,98.5,98.5
1855-04-06,"Louisiana 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,90,90
1855-04-06,"Indiana 5 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,85,85
1855-04-06,"Missouri 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,93.75,93.75
1855-04-06,"Ohio 6 per cents, 1875","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,112,112
1855-04-06,"Virginia 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,97,97
1855-04-06,"U.S. 6 per cents, 1867-8","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,117.5,117.5
1855-04-13,"California 7 per cents, 1870","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"No year listed, but set to 1870 because that is what is quoted in the tables starting in 1855.",1,93,93
1855-04-13,"Kentucky 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,101,101
1855-04-13,"Georgia 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,1,0,0,"",1,99,99
1855-04-13,"Louisiana 6 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,90,90
1855-04-13,"Indiana 5 per cents","1855-04-24","http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918",9,0,0,0,"",1,84.25,84.25
