"date","volume","url","description","issuer","interest","price_string","price_currency_low","price_currency_high","in_table","comment","asset","gold_rate","price_gold_low","price_gold_high","price_gold","price_currency","current_yield"
1860-08-25,15,"http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA253","Alabama  ","Alabama",5,"90 @ 92",90,92,0,"","alabama",1,90,92,90.9945053286186,90.9945053286186,0.0549483727829822
1858-11-24,13,"http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA511","Alabama 5 per cents","Alabama",5,"85 @ 86",85,86,0,"","alabama",1,85,86,85.4985379991962,85.4985379991962,0.058480532147193
1859-11-26,14,"http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA494","Alabama 5 per cents","Alabama",5,"88 @ 91",88,91,0,"","alabama",1,88,91,89.4874292847884,89.4874292847884,0.0558737695334593
1859-12-27,14,"http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA574","Alabama 5 per cents","Alabama",5,"91",91,91,0,"","alabama",1,91,91,91,91,0.054945054945055
1860-02-25,14,"http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA749","Alabama 5 per cents","Alabama",5,"93 @ 95",93,95,0,"","alabama",1,93,95,93.9946807005588,93.9946807005588,0.0531944995475714
1860-05-25,14,"http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA971","Alabama 5 per cents","Alabama",5,"93 @ 95",93,95,0,"","alabama",1,93,95,93.9946807005588,93.9946807005588,0.0531944995475714
1864-04-20,18,"http://books.google.com/books?id=D14mAQAAIAAJ&pg=PA925","Brooklyn 6's","Brooklyn",6,"110 @ 110.25",110,110.25,1,"","brooklyn_6",1.67252238320532,65.7689254891701,65.9184003198273,65.8436204882448,110.124929057866,0.0911250012606946
1865-12-23,20,"http://books.google.com/books?id=1HY9AAAAYAAJ&pg=PA591","Brooklyn 6's ","Brooklyn",6,"96.25 @ 97",96.25,97,1,"","brooklyn_6",1.45751348199971,66.037125,66.5517,66.2939132338897,96.6242723129131,0.090506046593321
1864-04-20,18,"http://books.google.com/books?id=D14mAQAAIAAJ&pg=PA925","Brooklyn Improvements","Brooklyn",,"109",109,109,1,"","brooklyn_improvements",1.67252238320532,65.1710261665413,65.1710261665413,65.1710261665413,109,
1865-12-23,20,"http://books.google.com/books?id=1HY9AAAAYAAJ&pg=PA591","Brooklyn Improvements","Brooklyn",,"84 @ 93.25",84,93.25,1,"","brooklyn_improvements",1.45751348199971,57.6324,63.978825,60.7227571337962,88.5042371867019,
1864-04-20,18,"http://books.google.com/books?id=D14mAQAAIAAJ&pg=PA925","Brooklyn Water","Brooklyn",,"109 @ 111",109,111,1,"","brooklyn_water",1.67252238320532,65.1710261665413,66.3668248117989,65.7662077088227,109.995454451536,
1865-12-23,20,"http://books.google.com/books?id=1HY9AAAAYAAJ&pg=PA591","Brooklyn Water","Brooklyn",,"94 @ 95",94,95,1,"","brooklyn_water",1.45751348199971,64.4934,65.1795,64.8355424539658,94.4986772394196,
1858-06-26,13,"http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA78","California","California",7,"86 @ 86.5",86,86.5,0,"","",1,86,86.5,86.2496376803984,86.2496376803984,0.0811597612263461
1860-09-26,15,"http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA333","California","California",7,"93 @ 94",93,94,0,"","",1,93,94,93.4986630920464,93.4986630920464,0.0748673806502316
1861-12-28,16,"http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA558","California","California",7,"77.5 @ 83",77.5,83,0,"","",1,77.5,83,80.2028677791512,80.2028677791512,0.0872786746139227
1862-01-24,16,"http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA653","California","California",7,"76.75 @ 79",76.75,79,0,"","",1.03434029020972,74.2018857105902,76.3771852916824,75.2816788728173,77.8668735727845,0.0929841112048785
1863-09-21,18,"http://books.google.com/books?id=D14mAQAAIAAJ&pg=PA325","California","California",7,"115 @ 120",115,120,0,"","",1.39130491676208,82.656216199993,86.2499647304275,84.4339726176614,117.473401244707,0.0829050177669336
1863-11-25,18,"http://books.google.com/books?id=D14mAQAAIAAJ&pg=PA500","California","California",7,"125 @ 126",125,126,0,"","",1.48876045697976,83.9624665028964,84.6341662349195,84.2976473426156,125.499003980111,0.0830390908959714
1863-09-21,18,"http://books.google.com/books?id=D14mAQAAIAAJ&pg=PA325","California 7 per cent","California",7,"115 @ 120",115,120,0,"","",1.39130491676208,82.656216199993,86.2499647304275,84.4339726176614,117.473401244707,0.0829050177669336
1863-11-25,18,"http://books.google.com/books?id=D14mAQAAIAAJ&pg=PA500","California 7 per cent","California",7,"125 @ 126",125,126,0,"","",1.48876045697976,83.9624665028964,84.6341662349195,84.2976473426156,125.499003980111,0.0830390908959714
1864-11-26,19,"http://books.google.com/books?id=lGAmAQAAIAAJ&pg=PA510","California 7 per cent","California",7,"152 @ 154",152,154,0,"","",2.22039665532753,68.4562371481227,69.356977110598,68.9051353163173,152.996731991242,0.101588944972906
1865-02-21,19,"http://books.google.com/books?id=lGAmAQAAIAAJ&pg=PA766","California 7 per cent","California",7,"154 @ 156",154,156,0,"","",1.98123643574103,77.7292387833562,78.7387094169062,78.232345904747,154.99677415998,0.0894770560571321
1865-04-22,19,"http://books.google.com/books?id=lGAmAQAAIAAJ&pg=PA940","California 7 per cent","California",7,"117.5 @ 120",117.5,120,0,"","",1.49690032204461,78.4955405978582,80.165658482919,79.3262043715694,118.743420870379,0.0882432237298474
1865-11-25,20,"http://books.google.com/books?id=1HY9AAAAYAAJ&pg=PA509","California 7 per cent","California",7,"116 @ 116",116,116,0,"","",1.47004825704893,78.9089742080075,78.9089742080075,78.9089742080075,116,0.0887098086150214
1865-12-23,20,"http://books.google.com/books?id=1HY9AAAAYAAJ&pg=PA591","California 7 per cent","California",7,"118 @ 119",118,119,0,"","",1.45751348199971,80.9598,81.6459,81.3021262626015,118.498945142984,0.086098609246582
1865-11-25,20,"http://books.google.com/books?id=1HY9AAAAYAAJ&pg=PA509","California large","California",7,"115.5 @ 118",115.5,118,0,"","",1.47004825704893,78.5688493191799,80.269473763318,79.4146094181668,116.743308159397,0.0881449905916012
1864-12-28,19,"http://books.google.com/books?id=lGAmAQAAIAAJ&pg=PA589","Connecticut","Connecticut",6,"101 @ 107",101,107,0,"","connecticut",2.20104536797518,45.8872867726999,48.6132642047415,47.2306129064614,103.956721764396,0.127036251083228
1865-02-21,19,"http://books.google.com/books?id=lGAmAQAAIAAJ&pg=PA766","Connecticut","Connecticut",6,"100",100,100,0,"","connecticut",1.98123643574103,50.473531677504,50.473531677504,50.473531677504,100,0.118874186144462
1865-05-24,19,"http://books.google.com/books?id=lGAmAQAAIAAJ&pg=PA1016","Connecticut","Connecticut",6,"97 @ 100",97,100,0,"","connecticut",1.33686186275953,72.5579827670257,74.8020440897172,73.6714695523308,98.4885780179611,0.0814426539399766
1865-06-28,20,"http://books.google.com/books?id=1HY9AAAAYAAJ&pg=PA93","Connecticut","Connecticut",6,"97 @ 100",97,100,0,"","connecticut",1.40493406084871,69.042386189572,71.1777177212082,70.1019220492562,98.4885780179611,0.0855896646569003
1865-07-25,20,"http://books.google.com/books?id=1HY9AAAAYAAJ&pg=PA189","Connecticut","Connecticut",6,"99 @ 100",99,100,0,"","connecticut",1.43369653029585,69.0522700641333,69.7497677415488,69.4001426439456,99.498743710662,0.0864551537131953
1865-12-23,20,"http://books.google.com/books?id=1HY9AAAAYAAJ&pg=PA591","Connecticut","Connecticut",6,"95 @ 97",95,97,0,"","connecticut",1.45751348199971,65.1795,66.5517,65.8620264655591,95.994791525374,0.0910995352251658
1863-09-21,18,"http://books.google.com/books?id=D14mAQAAIAAJ&pg=PA325","Connecticut 6 pct war bonds","Connecticut",6,"112 @ 115",112,115,0,"","connecticut",1.39130491676208,80.4999670817323,82.656216199993,81.5709671586649,113.490087672889,0.0735555824455202
1863-11-25,18,"http://books.google.com/books?id=D14mAQAAIAAJ&pg=PA500","Connecticut 6 pct war bonds","Connecticut",6,"112 @ 115",112,115,0,"","connecticut",1.48876045697976,75.2303699865952,77.2454691826646,76.2312614771656,113.490087672889,0.0787078671365978
1864-06-22,19,"http://books.google.com/books?id=lGAmAQAAIAAJ&pg=PA77","Connecticut 6 pct war bonds","Connecticut",6,"108 @ 110",108,110,0,"","connecticut",2.19766016788843,49.1431758094652,50.0532346207516,49.5961178803342,108.99541274751,0.120977210645334
1863-10-24,18,"http://books.google.com/books?id=D14mAQAAIAAJ&pg=PA406","Connecticut 6 per cent","Connecticut",6,"112 @ 115",112,115,0,"","connecticut",1.46875277415245,76.2551751193321,78.2977244528856,77.2697009803972,113.490087672889,0.077650099895199
1865-11-25,20,"http://books.google.com/books?id=1HY9AAAAYAAJ&pg=PA509","Connecticut 6 per cent","Connecticut",6,"94 @ 95",94,95,0,"","connecticut",1.47004825704893,63.9434790995923,64.6237288772475,64.2827041808292,94.4986772394196,0.0933377037643255
1864-09-20,19,"http://books.google.com/books?id=lGAmAQAAIAAJ&pg=PA317","Connecticut 6 per cent  ","Connecticut",6,"100.5",100.5,100.5,0,"","connecticut",2.24878483200653,44.6908030370903,44.6908030370903,44.6908030370903,100.5,0.134255810866061
1857-10-28,12,"http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA431","Florida 7 per cent","Florida",7,"85",85,85,0,"","florida",1,85,85,85,85,0.0823529411764706
1855-06-28,10,"http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA78","Georgia","Georgia",6,"100",100,100,0,"","georgia",1,100,100,100,100,0.06
1859-04-23,13,"http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA910","Georgia","Georgia",6,"100 @ 101",100,101,0,"","georgia",1,100,101,100.498756211209,100.498756211209,0.0597022314125993
1862-01-24,16,"http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA653","Georgia","Georgia",6,"66.25",66.25,66.25,0,"","georgia",1.03434029020972,64.0504876654932,64.0504876654932,64.0504876654932,66.25,0.0936761017548421
1862-03-24,16,"http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA830","Georgia","Georgia",6,"74",74,74,0,"","georgia",1.01312012241487,73.0416841624014,73.0416841624014,73.0416841624014,74,0.0821448747903945
1864-04-20,18,"http://books.google.com/books?id=D14mAQAAIAAJ&pg=PA925","Georgia","Georgia",6,"57 @ 60",57,60,1,"","georgia",1.67252238320532,34.0802613898427,35.8739593577291,34.9656104193821,58.4807660688538,0.171597175854653
1865-11-25,20,"http://books.google.com/books?id=1HY9AAAAYAAJ&pg=PA509","Georgia","Georgia",6,"85 @ 87",85,87,0,"","georgia",1.47004825704893,57.8212311006952,59.1817306560056,58.4975258040885,85.9941858499748,0.102568440588314
1865-12-23,20,"http://books.google.com/books?id=1HY9AAAAYAAJ&pg=PA591","Georgia  ","Georgia",6,"79 @ 80",79,80,0,"","georgia",1.45751348199971,54.2019,54.888,54.5438712157471,79.4984276574072,0.110003193140933
1860-08-25,15,"http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA253","Illinois","Illinois",,"106 @ 108",106,108,0,"","illinois_6",1,106,108,106.995327000762,106.995327000762,
1863-11-25,18,"http://books.google.com/books?id=D14mAQAAIAAJ&pg=PA500","Illinois","Illinois",,"102  @ 103",102,103,0,"","illinois_6",1.48876045697976,68.5133726663634,69.1850723983866,68.8484033814874,102.49878048055,
1864-09-20,19,"http://books.google.com/books?id=lGAmAQAAIAAJ&pg=PA317","Illinois","Illinois",,"100 @ 105",100,105,0,"","illinois_6",2.24878483200653,44.4684607334232,46.6918837700944,45.5666127773395,102.469507659596,
1865-02-21,19,"http://books.google.com/books?id=lGAmAQAAIAAJ&pg=PA766","Illinois","Illinois",,"98 @ 100",98,100,0,"","illinois_6",1.98123643574103,49.4640610439539,50.473531677504,49.9662471274359,98.9949493661167,
1865-05-24,19,"http://books.google.com/books?id=lGAmAQAAIAAJ&pg=PA1016","Illinois","Illinois",,"95 @ 98",95,98,0,"","illinois_6",1.33686186275953,71.0619418852313,73.3060032079229,72.1752515742065,96.4883412646315,
1865-11-25,20,"http://books.google.com/books?id=1HY9AAAAYAAJ&pg=PA509","Illinois","Illinois",,"96 @ 99",96,99,0,"","illinois_6",1.47004825704893,65.3039786549027,67.3447279878685,66.3165038209946,97.4884608556316,
1865-12-23,20,"http://books.google.com/books?id=1HY9AAAAYAAJ&pg=PA591","Illinois","Illinois",,"97.5 @ 100",97.5,100,0,"","illinois_6",1.45751348199971,66.89475,68.61,67.7469467762201,98.7420882906575,
1864-03-26,18,"http://books.google.com/books?id=D14mAQAAIAAJ&pg=PA846","Illinois ","Illinois",,"100 @ 102",100,102,0,"","illinois_6",1.69620946706644,58.9549828258816,60.1340824823992,59.5416140191043,100.995049383621,
1859-06-25,14,"http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA77","Illinois 6 per cent (interest, 1847)","Illinois",,"100",100,100,1,"","illinois_interest_1847",1,100,100,100,100,
1858-02-25,12,"http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA766","Illinois 6 per cent (internal improvement)","Illinois",,"95.5 @ 98",95.5,98,0,"","illinois_internal",1,95.5,98,96.7419247275968,96.7419247275968,
1858-04-25,12,"http://books.google.com/books?id=g2QmAQAAIAAJ&pg=PA927","Illinois 6 per cent (internal improvement)","Illinois",,"98.5 @ 100",98.5,100,0,"","illinois_internal",1,98.5,100,99.247166206396,99.247166206396,
1858-07-26,13,"http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA159","Illinois 6 per cent (internal improvement)","Illinois",,"101.5 @ 103",101.5,103,0,"","illinois_internal",1,101.5,103,102.247249351755,102.247249351755,
1858-11-24,13,"http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA511","Illinois 6 per cent (internal improvement)","Illinois",,"103 @ 104",103,104,0,"","illinois_internal",1,103,104,103.498792263485,103.498792263485,
1859-01-26,13,"http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA670","Illinois 6 per cent (internal improvement)","Illinois",,"104 @ 106",104,106,0,"","illinois_internal",1,104,106,104.995237987253,104.995237987253,
1859-03-26,13,"http://books.google.com/books?id=HVomAQAAIAAJ&pg=PA830","Illinois 6 per cent (internal improvement)","Illinois",,"106",106,106,0,"","illinois_internal",1,106,106,106,106,
1859-06-25,14,"http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA77","Illinois 6 per cent (internal improvement)","Illinois",,"102.5 @ 103",102.5,103,1,"","illinois_internal",1,102.5,103,102.749695863297,102.749695863297,
1859-11-26,14,"http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA494","Illinois 6 per cent (internal improvement)","Illinois",,"101 @ 103",101,103,0,"","illinois_internal",1,101,103,101.99509792142,101.99509792142,
1859-12-27,14,"http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA574","Illinois 6 per cent (internal improvement)","Illinois",,"101 @ 104",101,104,0,"","illinois_internal",1,101,104,102.489023802552,102.489023802552,
1860-02-25,14,"http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA749","Illinois 6 per cent (internal improvement)","Illinois",,"100 @ 100.5",100,100.5,0,"","illinois_internal",1,100,100.5,100.249688278817,100.249688278817,
1860-04-24,14,"http://books.google.com/books?id=H1smAQAAIAAJ&lr&pg=PA917","Illinois 6 per cent (internal improvement)","Illinois",,"103 @ 104",103,104,0,"","illinois_internal",1,103,104,103.498792263485,103.498792263485,
1860-06-25,15,"http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA77","Illinois 6 per cent (internal improvement)","Illinois",,"103 @ 104",103,104,0,"","illinois_internal",1,103,104,103.498792263485,103.498792263485,
1860-07-25,15,"http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA165","Illinois 6 per cent (internal improvement)","Illinois",,"103 @ 104",103,104,0,"","illinois_internal",1,103,104,103.498792263485,103.498792263485,
1861-05-24,15,"http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA946","Illinois 6 per cent (internal improvement)","Illinois",,"95 @ 100",95,100,0,"","illinois_internal",1,95,100,97.4679434480896,97.4679434480896,
