page,bid_number,bidder,amount,value,accepted,rejected,city,state
51,1,Charles H. Baker,13,100.26,13,0,Philadelphia,PA
51,2,Samuel S. White,2,100,2,0,Philadelphia,PA
51,3,"Jay, Cooke & Co",200,100.16,200,0,Philadelphia,PA
51,4,Summer R. Stone,3,100,3,0,New York,NY
51,5,John P. Elton,15,100.03,15,0,Waterbury,CT
51,5,John P. Elton,10,100.01,10,0,Waterbury,CT
51,6,Bridgeport Savings Bank,10,100,10,0,Bridgeport,CT
51,7,Bank of New York,100,100,100,0,New York,NY
51,8,Henry W.T. Mali & Co,50,100.01,50,0,New York,NY
51,9,H. Trowbridge's Sons,5,100.16,5,0,New Haven,CT
51,9,H. Trowbridge's Sons,5,100.14,5,0,New Haven,CT
51,10,Charles Griswold,2,100.27,2,0,New York,NY
51,11,Wm. H. Marston,10,100.05,10,0,New York,NY
51,12,Colgate & Hoffman,150,100,150,0,New York,NY
51,12,Colgate & Hoffman,50,100.05,50,0,New York,NY
51,13,James G. King's Sons,100,100,100,0,New York,NY
51,14,"Read, Drexel & Co",185,100,185,0,New York,NY
51,15,R.L. & A. Stuart,100,100,100,0,New York,NY
51,15,R.L. & A. Stuart,10,100,10,0,New York,NY
51,16,"H. Howard, secretary",100,100,100,0,Buffalo,NY
51,17,Institution for Savings,20,100,20,0,Roxbury,MA
51,18,Bank of Commerce,2500,100,2500,0,New York,NY
51,19,S. Hooper and others,1100,100,1011,89,Boston,MA
51,20,S. Hooper,350,100,0,350,Boston,MA
51,21,P.P. Pytchlynn,250,100,250,0,Boston,MA
